分类,编号,部件,型号/规格,数量,用途,参考单价(元),备注
弱电(通用必买),1,主控,ESP32-WROOM-32 开发板(38Pin),1,控制大脑,20~35,建议多备1块
弱电(通用必买),2,4G模块,SIM7600CE 模块/DTU 或合宙 Air724UG DTU,1,4G上网(MQTT),80~150,UART接GPIO27/26
弱电(通用必买),3,物联网卡,三大运营商物联卡(月流量≥100MB),1,4G流量,10~30/年,确认现场信号覆盖
弱电(通用必买),4,继电器模组,8路5V光耦隔离继电器板(低电平触发),1,驱动接触器线圈,15~30,低电平触发对应RELAY_ACTIVE_LOW 1
弱电(通用必买),5,温湿度传感器,SHT31(I2C 防护探头款),2~3,棚内温湿度,15~35,多点平均更准
弱电(通用必买),6,光照传感器,BH1750(I2C),1,自动卷帘光照判据,5~10,装在不被棉被遮挡处
弱电(通用必买),7,电流传感器,ACS712-20A 模块,2,电机过流/欠流检测,5~10,接ADC GPIO36/39
弱电(通用必买),8,霍尔接近开关,NJK-5002C(NPN常开 DC5~30V),2,失速检测+实时开度,5~12,接GPIO5/15
弱电(通用必买),9,磁钢,强磁铁 φ10~15mm,2~4,卷轴脉冲触发,1~3,每根卷轴1~2颗
弱电(通用必买),10,限位开关,LXK3行程开关或磁性接近开关,4,卷帘上/下+风口开/关到位,8~15,串线圈回路+接ESP32双保险
弱电(通用必买),11,开关电源,明纬LRS-50-5(220V→5V)+LRS-35-24(可选),1+1,弱电供电,30~60,24V给接近开关/传感器
弱电(通用必买),12,手动旋钮,三位旋钮开关(升/停/降),2,断网手动控制,8~15,与继电器输出并联
弱电(通用必买),13,急停按钮,蘑菇头急停(常闭),1,切断全部线圈电源,5~15,最高优先级
弱电(通用必买),14,防水机箱,IP65配电箱(≥400×300×150 强弱电分区),1,防潮防尘,60~150,留散热与走线孔
弱电(通用必买),15,辅料,DIN导轨/端子排/线槽/0.5~1mm²控制线/号码管/防水接头,1套,安装走线,50~100,
强电方案A(220V单相),A1,断路器,2P 按电机电流选档,2,卷帘/风口进线保护,15~30,见wiring.md选型表
强电方案A(220V单相),A2,漏电保护器,2P漏保30mA,1,潮湿环境必装,30~60,
强电方案A(220V单相),A3,交流接触器,正泰CJX2-0910/1210 线圈AC220V,4,卷帘正反+风口开关,20~35,
强电方案A(220V单相),A4,机械互锁配件,CJX2配套互锁,2,防正反同时吸合,8~15,卷帘1套+风口1套
强电方案A(220V单相),A5,热继电器,按电机额定电流整定,2,电机过载保护,25~45,
强电方案A(220V单相),A6,主回路铜线,1.5~2.5mm²按电流,若干,电机供电,3~6/米,按铭牌电流选径
强电方案B(380V三相),B1,断路器,3P 按电机电流选档,2,卷帘/风口进线保护,25~50,见wiring.md选型表
强电方案B(380V三相),B2,交流接触器,正泰CJX2-1210/1810 线圈AC220V,4,卷帘正反+风口开关,25~45,线圈统一AC220V
强电方案B(380V三相),B3,互锁,机械互锁+辅助常闭触点(电气互锁),2套,三相必须双重互锁,15~25,
强电方案B(380V三相),B4,热继电器,三相 按电机额定电流整定,2,过载保护,30~60,
强电方案B(380V三相),B5,缺相/相序保护器,断相错相保护继电器(如XJ3-G),2,三相必加防缺相烧电机,30~60,
强电方案B(380V三相),B6,控制变压器,JBK3-250VA或JBK3-400VA(380V→220V),1,三相三线现场给弱电+线圈供220V,80~150,三相四线有零线可省
强电方案B(380V三相),B7,主回路铜线,1.5~4mm²按电流,若干,电机供电,4~10/米,按铭牌电流选径
执行机构,M1,卷帘机(棉被),按棚跨度选功率 按现场电压订三相/单相款,1~2,棉被升降,800~3000,选带蜗轮自锁/机械刹车断电不溜
执行机构,M2,卷膜器(风口),按现场电压订货 380V三相三线现场建议380V款,1~2,顶部/侧面通风,150~600,勿买错电压再转压
云端(全部大棚共用),C1,云服务器,2核2G带公网IP(阿里云/腾讯云轻量),1,EMQX+TimescaleDB+后端API,100~300/年,
云端(全部大棚共用),C2,域名(可选),—,1,App访问后端,30~60/年,
多电机扩展(仅4电机配置),E1,MCP23017模块,I2C 16路IO扩展,1,8路继电器驱动+8路限位输入,5~10,挂现有I2C总线GPIO21/22
多电机扩展(仅4电机配置),E2,ADS1115模块,I2C 16位4通道ADC,1,4路ACS712电流采样,8~15,同上
多电机扩展(仅4电机配置),E3,ACS712-20A,电流检测模块,+2,第3/4台电机电流,6~10,共4个
多电机扩展(仅4电机配置),E4,霍尔接近开关,NJK-5002C NPN常开,+2,第3/4台脉冲反馈,5~12,直连GPIO13/14(4电机配置取消本地按钮)
多电机扩展(仅4电机配置),E5,限位开关,行程开关,+4,第3/4台上下限位,3~8,接MCP23017 B口
多电机扩展(仅4电机配置),E6,接触器CJX2,按电机电流选,+4,第3/4台正反转,20~45,含机械互锁+2套
多电机扩展(仅4电机配置),E7,热继电器,按电机铭牌电流,+2,第3/4台过载保护,20~40,—
